Sentence,polit
Biden administration approves first major offshore wind project in US waters,2
"The Biden administration announced Tuesday that it is moving forward with the nation's first large-scale offshore wind project, a significant step toward achieving President Joe Biden's goal of increasing US renewable energy production.",2
"Interior Secretary Deb Haaland described the project's approval as ""an important step toward advancing the Administration's goals to create good-paying union jobs while combating climate change and powering our nation.""",2
"""Today is one of many actions we are determined to take to open the doors of economic opportunity to more Americans,"" she said in a statement.",2
"estimated to create 3,600 jobs and power 400,000 homes and businesses, according to the Interior Department.",2
Renewable energy has been a focus of the Biden administration since early in the President's tenure. ,2
"And in March, the administration announced a massive, coordinated effort to bolster offshore wind energy projects in the United States in order to jump-start a ""clean energy revolution.""",2
"As part of that initiative, which spans multiple government agencies, the Departments of the Interior, Energy and Commerce committed to a shared goal of generating 30 gigawatts of offshore wind in the US by 2030. ",2
The March initiative came less than a week after the Biden administration had announced its goal of reducing solar electricity costs by 60% over the next decade.,2
"Environmental implications are a big focus of the President's American Jobs Plan, a roughly $2 trillion infrastructure proposal that he has said would create hundreds of thousands of jobs while tackling the climate crisis, reducing emissions and building a ""modern, resilient and fully clean grid.""",2
Biden kicked off a two-day virtual White House climate summit last month attended by 40 other world leaders by announcing an ambitious reduction target for greenhouse gas emissions as he looks to put the US back at the center of the global effort to address the climate crisis and curb carbon emissions.,2
Biden administration reverses Trump-era policy that blocked undocumented students from pandemic aid,2
"The Biden administration is expanding eligibility for pandemic relief aid to include undocumented and international college students, reversing a Trump-era policy that blocked them from receiving federal emergency grants.",2
"That interpretation of the law also blocked immigrants protected by the Deferred Action for Childhood Arrivals program, which was upheld by the Supreme Court last year in response to the Trump administration's attempt to end it.",2
The Trump-era policy became the subject of court battles in several states and provoked outcry from Democratic lawmakers such as Sen. ,2
"Murray praised the Biden administration's announcement Tuesday, saying she is ""so relieved"" by the decision.",2
The latest round of funding is the biggest yet for colleges and universities. The latest relief bill also provided about $800 million to support students experiencing homelessness.,2
"The earlier rounds of grant aid, authorized by Covid relief packages passed by Congress last year, excluded undocumented students.",2
The new Education Department rule comes as the agency releases the roughly $36 billion in emergency aid now available for postsecondary education,2
"Republican Rep. Marjorie Taylor Greene confronted Democratic Rep. Alexandria Ocasio-Cortez outside the House chamber on Wednesday afternoon, the latest of several confrontations Greene has had with her Democratic colleagues.",2
"Ocasio-Cortez left the House chamber late Wednesday afternoon ahead of Greene, who shouted ""Hey Alexandria"" twice to get her attention",2
"Greene caught up with Ocasio-Cortez and began shouting at her and asking why she supports antifa, a far-left activist group, and Black Lives Matter, falsely labeling them ""terrorist"" groups.",2
"Greene shouted at Ocasio-Cortez that she was failing to defend her ""radical socialist"" beliefs by declining to publicly debate her.",2
"Greene told reporters after Ocasio-Cortez ignored her, referring to her request in tweets to debate on the Green New Deal.",2
Audio clips of the incident which confirmed portions of the language Greene used were provided to CNN by the Capitol Hill press pool.,2
House Speaker Nancy Pelosi confirmed the incident happened during her weekly news conference on Thursday and suggested it might be for the House Ethics Committee to investigate.,2
"""It was reported to our office what happened as members were leaving the floors yesterday, the verbal assault and abuse of our colleague, congresswoman AOC. ",2
"It's so beyond the pale of anything that is in keeping with bringing honor to the House or not bringing dishonor to the House,"" she said.",2
"""It's so beyond the pale that you wonder, it probably is a matter for the Ethics Committee. But that's up to someone. I've always kept the leadership offices separate from any motions to take anything to Ethics.""",2
"It's that I refuse to allow young women, people of color, people who are standing up for what they believe, to see this kind of intimidation attempts by a person who supports White supremacists in our nation's capital.",2
"In comments to reporters on Capitol Hill, Greene denied Thursday that she was screaming at Ocasio-Cortez on Wednesday.",2
You chickened out bc you are too scared to debate me about your Socialist Green New Deal. ,2
You are also a hate-America terrorist sympathizer. ,2
"JihadSquad Members of Congress do NOT support terrorism & shouldn't be afraid to debate their legislation.""",2
"This is not the first time Greene, a freshman Georgia Republican who was stripped of her committee assignments because of incendiary and violent past statements, has had run ins with her Democratic colleagues in the House.",2
Democratic Rep. Cori Bush of Missouri moved her office away from Greene following a heated exchange in January where Bush confronted Greene about not wearing a mask in a hallway on Capitol Hill.,2
"The fallout led Pelosi to take the extraordinary step of ordering Bush's office to be moved away from Greene, following a request from Bush.",2
Concerns about sweeping voting rights bill grow among Senate Democrats,2
Senate Democrats privately signaled concerns Thursday about pushing ahead with a vote on the sweeping voting rights and ethics bill that had become a top priority for Democratic leaders and progressive outside groups -- at least without first making changes.,2
Joe Manchin -- a crucial vote in Democrats' narrow majority -- would not back S1,2
"known as the For the People Act, which Democrats see as a way to blunt Republican state-level efforts to restrict voting access.",2
"Manchin, who was not at Thursday's meeting because he's traveling with first lady Jill Biden in his home state, suggested instead that the path forward lies in pushing legislation that would have a narrower scope.",2
"One source familiar with the discussion at Thursday's meeting said that lawmakers signaled that while they had signed onto S1, they still had changes they wanted to make -- some of them significant. ",2
"Sen. Mark Warner, a Democrat from Virginia, told the caucus that some things in the bill still needed to be adapted and that it was one thing to have a bill that was seen as a messaging bill and another thing to vote on the legislation as it is.",2
A spokesman for Warner declined to comment.,2
"The major voting rights package would mandate 15 days of early voting, allow same-day voter registration and limit states' ability to curb mail-in voting and the use of ballot boxes.",2
"It also rewrites federal campaign finance rules, sets out new ethics requirements for the president and seeks to end partisan gerrymandering.",2
"It wasn't clear from the meeting, according to the source, what the next step for the bill would be after the Rules Committee deadlocked along partisan lines on passing the bill out of committee earlier this week, revealing the tough path ahead for the Democratic legislation.",2
While Senate Majority Leader Chuck Schumer could still bring the bill to the floor,2
the vote in committee was a reminder that the legislation will not have the 60 votes needed to pass and has no Republican support.,2
Manchin had previously expressed reservations about moving forward with a far-reaching measure without bipartisan support.,2
His suggestion for legislation that can move forward -- the John Lewis Voting Rights Act -- is a bill far less sweeping.,2
"But it would bring back major pieces of the 1965 Voting Rights Act, including a provision that require states to consult with the federal government before making major changes to their voting rules.",2
Manchin's support of that bill was first reported by ABC News.,2
"In recent weeks, Manchin has had conversations with Democratic colleagues Rep. ",2
