Sentence,polit
Biden issues warning to gas station owners on price gouging,2
"The company said its team ""worked safely and tirelessly around the clock"" to restore operations and thanked the White House, Department of Energy, Department of Transportation, the FBI and other government agencies for their support",2
Republican governors are refusing aid from Democrats in Washington,2
Democrats in Washington have approved trillions of dollars to help Americans weather the coronavirus pandemic,2
 but Republican state officials are pulling back relief for low-income Americans by turning away federal money,2
17 governors have announced they'll be cutting off pandemic unemployment benefits early,2
The moves echo the refusal by GOP-led states to participate in Medicaid expansion under the Obama-era Affordable Care Act,2
 his state would not implement a voter-approved Medicaid expansion on July 1 for budget reasons.,2
He and other Republican officials in the dozen red-led states ,2
 to expand Medicaid aren't stepping up to take advantage of a big sweetener that Democrats included in their recent $1.9 trillion relief package,2
While Republicans in Washington focus on ridding the party of leaders perceived as disloyal to former President Donald Trump,2
GOP governors are leaning into the longstanding party orthodoxy of advocating for paychecks instead of government handouts,2
 his state would cease the federal benefits on June 26,2
the governors who are terminating the programs say that the more generous payments,2
Ending pandemic unemployment benefits early,2
"What was intended to be a short-term financial assistance for the vulnerable and displaced during the height of the pandemic has turned into a dangerous federal entitlement, incentivizing and paying workers to stay at home rather than encouraging them to return to the workplace",2
who announced last week that the programs would end on June 30 in his state,2
"Democrats, who recently extended the expansion until early September as part of their $1.9 million coronavirus relief package",2
defend the continued need for enhanced benefits,2
The House GOP's move to remove Rep. Liz Cheney from her leadership position is widely seen as the latest move to placate the base at the risk of alienating the center of the electorate,2
 Cheney had voted to impeach former President Donald Trump and has continued her critiques of him while most other Republicans seem to have a hard time distancing themselves from him,2
But a look at the statistics reveals that Republicans may be playing it right when it comes to Trump,2
The belief that Republicans should not try to placate Trump or his supporters comes down to the fact that he is unpopular and just lost a presidential election,2
there's little sign that Trump is even on the minds' of most voters these days,2
there's not much of a sign that the GOP's association with Trump is hurting them at this point,2
Take a look at the generic congressional ballot,2
Democrats hold a slight lead of about 3 to 4 points in an average of polls,2
Trump lost the 2020 election by 4.5 points,2
 House Republicans lost nationally by 3.1 points,2
Republicans are in no worse position than they were in the 2020 election,2
they're actually polling better now on the generic ballot than they were heading into the last election by about 3 to 4 points because polling across the board underestimated Republicans,2
If Republicans were underperforming their baseline,2
 you'd expect them to be doing worse than what President Joe Biden's approval ratings would suggest,2
 Biden's net approval rating (approval - disapproval) among voters is just north of +10 point,2
which is actually more than double the Democrats' advantage on the generic ballot,2
"Comparing the results in those elections to the 2020 presidential election in those districts, we see that there hasn't been much movement on the whole",2
Examining all special elections where at least one Democrat and one Republican ran,2
Republicans are outperforming their 2020 baseline by 3 points on average,2
Not counting those elections with multiple Democrats or Republicans running,2
"with a major independent candidate, Republicans are matching their 2020 position",2
Keep in mind that even a small tick toward the Republicans would have resulted in a very different outcome in 2020,2
 Biden won the state that put him over the top in the Electoral College (Wisconsin) by less than a point,2
Republicans were just 5 seats away from getting a House majority and a mere 1 seat from earning a Senate majority,2
Republicans only need their 2020 base and a little more,2
"If Republicans detach themselves from Trump too much, they risk alienating Trump and many of his voters",2
We know from Pew Research Center polling that a majority of Republicans don't want the party to be accepting of elected officials who openly criticize him,2
We also know from the Pew polling that nearly two-thirds of Republicans don't want the party to be accepting of elected officials who voted to impeach Trump,2
"In the lead up to the 2021 Georgia Senate runoff elections, Trump had sought to falsely cast doubts on the ability of the state to accurately count votes",2
The result was dampened Republican turnout,2
Republican Rep. Majorie Taylor Greene's heavily Republican congressional district saw the largest dropoff in votes cast of any congressional district from the 2020 general election,2
"As we head into the 2022 elections, it's not difficult to see Trump pulling similar shenanigans as he did in Georgia",2
"He owes the party nothing, and he has nothing to lose",2
The best case scenario for Republicans is to turn out his voters,2
while trying to keep Trump out of the limelight,2
 Officer on people who spread lies about Capitol riot,2
"media outlets can access videos used in Capitol riot court cases after 15 news outlets, including CNN, sought body camera and surveillance video that's been seen by judges but not the public",2
 Republicans and former President Donald Trump try to recast the January 6 hijacking of the US Capitol by Trump supporters as victimization of the far right,2
Howell didn't side with a blanket public access policy,2
She also noted that releasing all video from court proceedings before a trial could prejudice future juries,2
"So the news outlets will have to seek video from court on a case-by-case basis, Howell wrote in an opinion released Friday",2
"So far, Justice Department prosecutors have used videos to illustrate what they say are the most dangerous defendants' actions on January 6, especially in cases where Trump supporters assaulted police",2
"One Metropolitan Police officer who was beaten and tased during the riot, Michael Fanone, has advocated for the release of his body camera video and repeatedly criticized Republicans who've tried to downplay the violence during the insurrection",2
Arizona Republicans move 2020 ballots in trucks after pausing controversial election audit,2
