Sentence,polit
President Joe Biden said Thursday he does not believe the Russian government was behind a cyberattack that shut down the pipeline supplying gasoline to the eastern US but said Moscow must do more to stop such attacks coming from Russia.,2
"When asked directly if he would rule out any sort of cyberattacks targeting the criminal group that carried out the attack, Biden simply said, ""No.""",2
Speaking from the White House's Roosevelt Room Thursday afternoon,2
the President provided an update on the Colonial Pipeline incident,2
seeking to assure the American people that his administration is mitigating gas shortages in the Southeast and protecting Americans from price gouging in the aftermath of the shutdown,2
"""We do not believe -- emphasize, we do not believe -- the Russian government was involved in this attack,"" Biden said",2
But we do have strong reason to believe that the criminals who did the attack are living in Russia,2
Moscow bears a responsibility to stop such attacks when they originate within its borders,2
We have been in direct communications with Moscow about the imperative for responsible countries to take decisive action against these ransomware networks,2
"while engaging federal agencies and a third-party cybersecurity firm, FireEye, to investigate the attack",2
The attack on the critical pipeline highlighted growing concerns over the vulnerabilities in the nation's critical infrastructure,2
"DarkSide, is a criminal syndicate believed to be based in Russia",2
Cyber experts have said it operates with the tacit permission from Moscow,2
though isn't controlled by the government,2
Biden said he planned to raise the topic of cyberattacks with Russian President Vladimir Putin at their upcoming summit,2
"and suggested world leaders were working to develop an ""international standard"" where governments will prosecute hacking networks operating within their borders",2
He said he was confident Putin himself had not directed the pipeline attack,2
I am confident that I read the report of the FBI accurately and they say they were not,2
But he would not rule out taking cyber countermeasures to prevent future attacks from the criminal group,2
Biden signed an executive order Wednesday meant to better secure the nation from cyberattacks,2
the White House acknowledged more will need to be done to prevent the type of hack that impacted the Colonial Pipeline,2
The US has accused Russia of meddling in the 2020 US election and the country's foreign intelligence service of being behind the SolarWinds intrusion campaign last year that compromised nine US agencies and dozens of private organizations,2
The Biden administration last month targeted Russia with sweeping sanctions and diplomatic expulsions in response,2
Active-duty Marine charged with assaulting police officers at US Capitol riot,2
An active-duty US Marine was arrested Thursday for allegedly participating in the deadly Capitol insurrection and charged with assaulting multiple police officers inside and outside the iconic building during the attack,2
according to the Justice Department,2
"Warnagiris is charged with assaulting, resisting or impeding officers",2
obstruction of law enforcement during civil disorder,2
the Pentagon confirmed,2
Other current or former service members were previously charged in connection with the January 6 attack at the Capitol,2
according to a CNN review of court documents and Pentagon records,2
federal prosecutors also charged a member of the Wisconsin National Guard with four federal crimes,2
